#Digilent WaveForms Impedance Analyzer
#Device Name: Discovery2
#Serial Number: SN:210321B053D5
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 10 Hz
#Stop: 50000 Hz
#Steps: 151
#Order: W1-C1-DUT-C2-R-GND
#Resistor: 1e+06 O
#Average: 1
#ProbeResistance: 1.04e+06 O
#ProbeCapacitance: 4.3e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 1 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.43979 V
#Offset: -0.000262887 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.43753 V
#Offset: -8.04338e-05 V
#Attenuation: 1 X

Frequency (Hz),Trace th (deg),Trace |Z| (Ohm)
563.4375696033708,-1.404540262537232,754102.111972044
596.3560123410552,-1.558452347471218,754740.8942033494
631.1976918856806,-1.603714833271292,753562.3234720434
668.0749719916639,-1.662596940989809,754345.670875891
707.1067811865476,-1.744779824222012,753650.0611728057
748.4189963132453,-1.86864155119979,753696.4551994214
792.1448484804624,-1.978417433658534,753488.6402182371
838.4253527304941,-2.061201900521146,753002.2340115799
887.4097628100533,-2.2307462702603,752992.3848092012
939.2560525107727,-2.337362478090931,752629.7634404215
994.1314251316742,-2.432805482958874,751935.4017299979
1052.212852706634,-2.601153746630633,751538.6497162263
1113.687646735833,-2.703468266557607,751007.7743427005
1178.754062261777,-2.87288854155062,750740.443446037
1247.621937238045,-3.036635895563654,750603.1162467721
1320.513369252708,-3.199118547752994,749247.7121974973
1397.663431788814,-3.392004606427103,748084.0834011065
1479.320932331926,-3.595279122407404,748473.3400844254
1565.749214769513,-3.790186404451583,747053.4638662395
1657.227008669993,-3.982414413926943,745751.9839943433
1754.049328180301,-4.197649168816124,745143.1521944473
1856.528423440887,-4.407321823323534,743594.2569680328
1964.994787586509,-4.720426533674888,742523.2663688665
2079.798222580294,-4.901130932704072,740891.9944209085
2201.308967318424,-5.160219919839934,739442.7613562493
2329.918891643553,-5.440569536635184,737479.9448727462
2466.042760117587,-5.748430451814031,735381.6980958862
2610.119569629524,-5.999159738945758,733319.3282274803
2762.613965152073,-6.290104471019743,731243.6527751504
2924.017738212866,-6.649645685138983,728800.3669449773
3094.851412912785,-6.909282548947247,725160.4336964004
3275.665924606298,-7.221164408945548,722173.4071542424
3467.044396657504,-7.545871350671517,719255.713883862
3669.604021001906,-7.821081949789276,714281.3112766048
3883.998048578666,-8.16766400636994,710987.1126113908
4110.91789605249,-8.501023700739935,706442.8693499307
4351.095375619197,-8.815481212553951,702082.5275930003
4605.305055086172,-9.11646714849384,697058.2445853417
4874.36675583883,-9.397066211678631,691599.9851071298
5159.148196748966,-9.718998496495464,686060.145573153
5460.567792551683,-9.943220533586299,680567.1019295487
5779.597615715405,-10.2132879539034,674388.9425500593
6117.266531357141,-10.47333587759022,668063.8651533518
6474.663515312955,-10.64312461105114,661890.9060600057
6852.941166064297,-10.86225739804756,654950.5750507099
7253.319421846229,-10.97921974248854,648997.4958002099
7677.08949492507,-11.10304481410128,641517.7173320676
8125.618035733363,-11.19471308521524,634844.7600564074
8600.351540291613,-11.28644752924581,627893.8484994072
9102.821015130405,-11.28376324264915,621094.9659257508
9634.646914757404,-11.29002041187572,614656.2304110385
10197.54436759236,-11.22909336030533,607920.6233460119
10793.32870722362,-11.17369989008341,601614.6068402677
11423.92132682452,-11.0501175673833,595111.5273624557
12091.35587560979,-10.92598969168831,588998.5538624314
12797.78481731564,-10.78312025230001,583160.1544005222
13545.48637185448,-10.56906911252621,577539.7733762108
14336.87186253071,-10.32933789884813,572704.9441783478
15174.49349251265,-10.19752864543186,566768.4963059892
16061.05257563926,-9.877380933252994,562374.9578067707
16999.40824810587,-9.628161543636148,557834.4696223999
17992.58668912415,-9.35044101928473,553539.6764661577
19043.7908802925,-9.031407569424879,549505.9243702429
20156.41093515083,-8.741591950273209,545744.8267664069
21334.03503223242,-8.480609310277103,542369.3985811142
22580.46098687132,-8.214079038470796,538881.9919426651
23899.7084990848,-7.947869274570384,536066.646458202
25296.0321170294,-7.654274282415615,533556.0603538044
26773.9349578379,-7.391200592774865,531058.2981931807
28338.18323008663,-7.106374000832288,529870.7838274294
29993.82160472731,-6.757372835440967,531031.9884244704
31746.18948405528,-5.96278150032954,523047.788621256
33600.93822118018,-6.821216297743498,521856.9700055122
35564.04934553248,-6.229242744917751,520251.2748726686
37641.85385318225,-5.697701395543962,521480.1691459706
39841.05262418107,-4.886656747902734,519345.2740469076
42168.73803277285,-4.967128670403098,514708.5660690079
44632.41682016619,-5.319421796534465,516708.404124287
47240.03430363178,-4.814752293351682,514549.7108163036
50000,-4.599724280573104,512066.3561127695
