Freq.	V(out)
7.41310241300916e+01	(-7.85399580736811e+00dB,-1.91015799497105e-01°)
7.58577575029182e+01	(-7.85399807216156e+00dB,-1.95465095138394e-01°)
7.76247116628690e+01	(-7.85400044369018e+00dB,-2.00018025764093e-01°)
7.94328234724279e+01	(-7.85400292698411e+00dB,-2.04677005169691e-01°)
8.12830516164097e+01	(-7.85400552731055e+00dB,-2.09444503362792e-01°)
8.31763771102669e+01	(-7.85400825018494e+00dB,-2.14323047871584e-01°)
8.51138038202374e+01	(-7.85401110138260e+00dB,-2.19315225083708e-01°)
8.70963589956078e+01	(-7.85401408695108e+00dB,-2.24423681616256e-01°)
8.91250938133743e+01	(-7.85401721322286e+00dB,-2.29651125717603e-01°)
9.12010839355907e+01	(-7.85402048682887e+00dB,-2.35000328701818e-01°)
9.33254300796988e+01	(-7.85402391471255e+00dB,-2.40474126416394e-01°)
9.54992586021433e+01	(-7.85402750414450e+00dB,-2.46075420744089e-01°)
9.77237220955808e+01	(-7.85403126273798e+00dB,-2.51807181139638e-01°)
9.99999999999997e+01	(-7.85403519846504e+00dB,-2.57672446202177e-01°)
1.02329299228075e+02	(-7.85403931967338e+00dB,-2.63674325284160e-01°)
1.04712854805090e+02	(-7.85404363510408e+00dB,-2.69816000137655e-01°)
1.07151930523760e+02	(-7.85404815391018e+00dB,-2.76100726598844e-01°)
1.09647819614318e+02	(-7.85405288567600e+00dB,-2.82531836311638e-01°)
1.12201845430196e+02	(-7.85405784043756e+00dB,-2.89112738491288e-01°)
1.14815362149688e+02	(-7.85406302870377e+00dB,-2.95846921728918e-01°)
1.17489755493953e+02	(-7.85406846147879e+00dB,-3.02737955837931e-01°)
1.20226443461741e+02	(-7.85407415028533e+00dB,-3.09789493743236e-01°)
1.23026877081238e+02	(-7.85408010718907e+00dB,-3.17005273414302e-01°)
1.25892541179416e+02	(-7.85408634482428e+00dB,-3.24389119843018e-01°)
1.28824955169313e+02	(-7.85409287642058e+00dB,-3.31944947067412e-01°)
1.31825673855640e+02	(-7.85409971583100e+00dB,-3.39676760242277e-01°)
1.34896288259165e+02	(-7.85410687756136e+00dB,-3.47588657757765e-01°)
1.38038426460288e+02	(-7.85411437680101e+00dB,-3.55684833407068e-01°)
1.41253754462275e+02	(-7.85412222945507e+00dB,-3.63969578604295e-01°)
1.44543977074592e+02	(-7.85413045217809e+00dB,-3.72447284653702e-01°)
1.47910838816820e+02	(-7.85413906240941e+00dB,-3.81122445071448e-01°)
1.51356124843620e+02	(-7.85414807841015e+00dB,-3.89999657961072e-01°)
1.54881661891248e+02	(-7.85415751930184e+00dB,-3.99083628443923e-01°)
1.58489319246111e+02	(-7.85416740510706e+00dB,-4.08379171145788e-01°)
1.62181009735892e+02	(-7.85417775679181e+00dB,-4.17891212741009e-01°)
1.65958690743755e+02	(-7.85418859630998e+00dB,-4.27624794555383e-01°)
1.69824365246174e+02	(-7.85419994664991e+00dB,-4.37585075229195e-01°)
1.73780082874937e+02	(-7.85421183188308e+00dB,-4.47777333441737e-01°)
1.77827941003892e+02	(-7.85422427721518e+00dB,-4.58206970698711e-01°)
1.81970085860998e+02	(-7.85423730903948e+00dB,-4.68879514183940e-01°)
1.86208713666286e+02	(-7.85425095499283e+00dB,-4.79800619676844e-01°)
1.90546071796324e+02	(-7.85426524401420e+00dB,-4.90976074537157e-01°)
1.94984459975804e+02	(-7.85428020640601e+00dB,-5.02411800758407e-01°)
1.99526231496887e+02	(-7.85429587389836e+00dB,-5.14113858091701e-01°)
2.04173794466952e+02	(-7.85431227971631e+00dB,-5.26088447241405e-01°)
2.08929613085403e+02	(-7.85432945865021e+00dB,-5.38341913134320e-01°)
2.13796208950222e+02	(-7.85434744712949e+00dB,-5.50880748263997e-01°)
2.18776162394954e+02	(-7.85436628329982e+00dB,-5.63711596111884e-01°)
2.23872113856833e+02	(-7.85438600710395e+00dB,-5.76841254647003e-01°)
2.29086765276776e+02	(-7.85440666036633e+00dB,-5.90276679905917e-01°)
2.34422881531991e+02	(-7.85442828688171e+00dB,-6.04024989654749e-01°)
2.39883291901948e+02	(-7.85445093250793e+00dB,-6.18093467135098e-01°)
2.45470891568502e+02	(-7.85447464526307e+00dB,-6.32489564895675e-01°)
2.51188643150957e+02	(-7.85449947542716e+00dB,-6.47220908711571e-01°)
2.57039578276885e+02	(-7.85452547564869e+00dB,-6.62295301593071e-01°)
2.63026799189537e+02	(-7.85455270105607e+00dB,-6.77720727885971e-01°)
2.69153480392690e+02	(-7.85458120937445e+00dB,-6.93505357465408e-01°)
2.75422870333816e+02	(-7.85461106104791e+00dB,-7.09657550025228e-01°)
2.81838293126444e+02	(-7.85464231936748e+00dB,-7.26185859464970e-01°)
2.88403150312659e+02	(-7.85467505060513e+00dB,-7.43099038376574e-01°)
2.95120922666637e+02	(-7.85470932415410e+00dB,-7.60406042632951e-01°)
3.01995172040200e+02	(-7.85474521267577e+00dB,-7.78116036080627e-01°)
3.09029543251358e+02	(-7.85478279225350e+00dB,-7.96238395338641e-01°)
3.16227766016837e+02	(-7.85482214255365e+00dB,-8.14782714705997e-01°)
3.23593656929627e+02	(-7.85486334699417e+00dB,-8.33758811179940e-01°)
3.31131121482590e+02	(-7.85490649292115e+00dB,-8.53176729587402e-01°)
3.38844156139201e+02	(-7.85495167179361e+00dB,-8.73046747831980e-01°)
3.46736850452530e+02	(-7.85499897937701e+00dB,-8.93379382258864e-01°)
3.54813389233574e+02	(-7.85504851594582e+00dB,-9.14185393140145e-01°)
3.63078054770100e+02	(-7.85510038649560e+00dB,-9.35475790282984e-01°)
3.71535229097171e+02	(-7.85515470096509e+00dB,-9.57261838763163e-01°)
3.80189396320559e+02	(-7.85521157446864e+00dB,-9.79555064786546e-01°)
3.89045144994279e+02	(-7.85527112753958e+00dB,-1.00236726168105e+00°)
3.98107170553495e+02	(-7.85533348638504e+00dB,-1.02571049602169e+00°)
4.07380277804111e+02	(-7.85539878315268e+00dB,-1.04959711389146e+00°)
4.16869383470333e+02	(-7.85546715620996e+00dB,-1.07403974728046e+00°)
4.26579518801591e+02	(-7.85553875043647e+00dB,-1.09905132062637e+00°)
4.36515832240164e+02	(-7.85561371752997e+00dB,-1.12464505749849e+00°)
4.46683592150961e+02	(-7.85569221632680e+00dB,-1.15083448742859e+00°)
4.57088189614873e+02	(-7.85577441313723e+00dB,-1.17763345289094e+00°)
4.67735141287196e+02	(-7.85586048209664e+00dB,-1.20505611643456e+00°)
4.78630092322636e+02	(-7.85595060553299e+00dB,-1.23311696797028e+00°)
4.89778819368444e+02	(-7.85604497435161e+00dB,-1.26183083221568e+00°)
5.01187233627270e+02	(-7.85614378843790e+00dB,-1.29121287630044e+00°)
5.12861383991362e+02	(-7.85624725707896e+00dB,-1.32127861753513e+00°)
5.24807460249770e+02	(-7.85635559940483e+00dB,-1.35204393134619e+00°)
5.37031796370250e+02	(-7.85646904485046e+00dB,-1.38352505937994e+00°)
5.49540873857622e+02	(-7.85658783363917e+00dB,-1.41573861777838e+00°)
5.62341325190346e+02	(-7.85671221728871e+00dB,-1.44870160562965e+00°)
5.75439937337154e+02	(-7.85684245914103e+00dB,-1.48243141359591e+00°)
5.88843655355586e+02	(-7.85697883491660e+00dB,-1.51694583272136e+00°)
6.02559586074355e+02	(-7.85712163329473e+00dB,-1.55226306342312e+00°)
6.16595001861479e+02	(-7.85727115652088e+00dB,-1.58840172466771e+00°)
6.30957344480190e+02	(-7.85742772104226e+00dB,-1.62538086333567e+00°)
6.45654229034652e+02	(-7.85759165817302e+00dB,-1.66321996377695e+00°)
6.60693448007592e+02	(-7.85776331479042e+00dB,-1.70193895755956e+00°)
6.76082975391978e+02	(-7.85794305406337e+00dB,-1.74155823341386e+00°)
