#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B053D5
#Date Time: 2025-02-11 09:31:00.657
#Sample rate: 40000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 50 mV Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V)
-0.0024234375,0.1152949428328338
-0.0023984375,0.1126388348082771
-0.0023734375,0.108654672771442
-0.0023484375,0.1040064837284678
-0.0023234375,0.09803024067321514
-0.0022984375,0.09105795710875376
-0.0022734375,0.0837536600412228
-0.0022484375,0.07545332246448305
-0.0022234375,0.06615694437853455
-0.0021984375,0.05586452578337726
-0.0021734375,0.04789620170970711
-0.0021484375,0.03926385062989778
-0.0021234375,0.03029948604701886
-0.0020984375,0.02166713496720954
-0.0020734375,0.01037867586284349
-0.0020484375,-0.002901864259940096
-0.0020234375,-0.01485435037044532
-0.0019984375,-0.02747086348708973
-0.0019734375,-0.03842730908838618
-0.0019484375,-0.04407153864056921
-0.0019234375,-0.04340751163443003
-0.0018984375,-0.03875932259145577
-0.0018734375,-0.03045898501471603
-0.0018484375,-0.01950253941341958
-0.0018234375,-0.01053817483054066
-0.0017984375,-0.004893945278357634
-0.0017734375,-0.002237837253800917
-0.0017484375,-0.004561931775288044
-0.0017234375,-0.01385830986123655
-0.0016984375,-0.02780287699015932
-0.0016734375,-0.04506757914977798
-0.0016484375,-0.0633283218186054
-0.0016234375,-0.08059302397822406
-0.0015984375,-0.09586564511942518
-0.0015734375,-0.1051620232053737
-0.0015484375,-0.1091461852422088
-0.0015234375,-0.1071541042237912
-0.0014984375,-0.09885376664705149
-0.0014734375,-0.08723329403961586
-0.0014484375,-0.07428476741990186
-0.0014234375,-0.06399234882474458
-0.0013984375,-0.05868013277563115
-0.0013734375,-0.05868013277563115
-0.0013484375,-0.0633283218186054
-0.0013234375,-0.07129664589227555
-0.0012984375,-0.08026101047515448
-0.0012734375,-0.08988940206417258
-0.0012484375,-0.09752571263477314
-0.0012234375,-0.1041659826961649
-0.0011984375,-0.1094781987452784
-0.0011734375,-0.1131303472790438
-0.0011484375,-0.1174465228189485
-0.0011234375,-0.1217626983588532
-0.0010984375,-0.126742900904897
-0.0010734375,-0.1320551169540105
-0.0010484375,-0.1386953870154022
-0.0010234375,-0.145335657076794
-0.0009984375,-0.1519759271381858
-0.0009734375,-0.1572881431872993
-0.0009484375000000001,-0.1586161971995776
-0.0009234375000000001,-0.1576201566903688
-0.0008984375,-0.1552960621688817
-0.0008734375000000001,-0.1519759271381858
-0.0008484375,-0.1473277380952115
-0.0008234375000000001,-0.1416835085430285
-0.0007984375000000001,-0.1343792114754976
-0.0007734375,-0.1244188063834099
-0.0007484375000000001,-0.1144584012913222
-0.0007234375,-0.1015098746716082
-0.0006984375000000001,-0.08690128053654626
-0.0006734375000000001,-0.07262469990455392
-0.0006484375,-0.05868013277563115
-0.0006234375000000001,-0.0473916736712651
-0.0005984375,-0.04041939010680372
-0.0005734375000000001,-0.03842730908838618
-0.0005484375000000001,-0.03942334959759495
-0.0005234375,-0.04174744411908208
-0.0004984375000000001,-0.04373952513749962
-0.0004734375,-0.04573160615591716
-0.0004484375,-0.04705966016819552
-0.0004234375,-0.04905174118661305
-0.0003984375,-0.05104382220503059
-0.0003734375,-0.05369993022958731
-0.0003484375,-0.05801610576949197
-0.0003234375,-0.06266429481246621
-0.0002984375,-0.06631644334623171
-0.0002734375,-0.06565241634009253
-0.0002484375,-0.0603402002909791
-0.0002234375,-0.05170784921116977
-0.0001984375,-0.03875932259145577
-0.0001734375,-0.02315468794718506
-0.0001484375,-0.007218039799844761
-0.0001234375,0.008054581341356361
-9.843750000000003e-05,0.02100310796107036
-7.343750000000002e-05,0.03096351305315804
-4.843750000000003e-05,0.03826781012068901
-2.343750000000002e-05,0.0449080801820808
1.562499999999976e-06,0.05022029623119424
2.656249999999998e-05,0.0548684852741685
5.156249999999998e-05,0.06018070132328193
7.656249999999997e-05,0.06715298488774331
0.0001015625,0.07445728195527428
0.0001265625,0.08109755201666607
0.0001515625,0.08607775456270991
0.0001765625,0.08806983558112745
0.0002015625,0.08806983558112745
0.0002265625,0.08607775456270991
0.0002515625,0.08408567354429237
0.0002765625,0.08275761953201402
0.0003015625,0.08242560602894443
0.0003265625,0.08408567354429237
0.0003515625,0.08707379507191869
0.0003765625,0.08873386258726663
0.0004015625,0.0867417815688491
0.0004265625,0.0837536600412228
0.0004515625,0.08043352501052689
0.0004765625,0.07810943048903976
0.0005015624999999999,0.07678137647676141
0.0005265624999999999,0.07810943048903976
0.0005515625,0.08275761953201402
0.0005765624999999999,0.09138997061182336
0.0006015624999999999,0.1020144027100502
0.0006265624999999999,0.1126388348082771
0.0006515624999999999,0.1219352128942256
0.0006765625,0.1308995774771045
0.0007015624999999999,0.1398639420599834
0.0007265624999999999,0.1488283066428623
0.0007515625,0.1567966307165325
0.0007765624999999999,0.1621088467656459
0.0008015625,0.1657609952994114
0.0008265624999999999,0.1674210628147594
0.0008515624999999999,0.166093008802481
0.0008765625,0.1634369007779243
0.0009015624999999999,0.1601167657472284
0.0009265625,0.1564646172134629
0.0009515624999999999,0.1521484416735582
0.0009765624999999999,0.1455081716121664
0.0010015625,0.1362117935262179
0.0010265625,0.1242593074157127
0.0010515625,0.1116427942990683
0.0010765625,0.0993582946854935
0.0011015625,0.09039393010261458
0.0011265625,0.08408567354429237
0.0011515625,0.07943748450131813
0.0011765625,0.07644936297369181
0.0012015625,0.07545332246448305
0.0012265625,0.07312922794299592
0.0012515625,0.06781701189388249
0.0012765625,0.06217278234169946
0.0013015625,0.0548684852741685
0.0013265625,0.04656814769742876
0.0013515625,0.03660774260534107
0.0013765625,0.02664733751325338
0.0014015625,0.01701894592423528
0.0014265625,0.008054581341356361
0.0014515625,-0.0002457562353833792
0.0014765625,-0.007218039799844761
0.0015015625,-0.01385830986123655
0.0015265625,-0.02116260692876753
0.0015515625,-0.02747086348708973
0.0015765625,-0.03444314705155111
0.0016015625,-0.04241147112522126
0.0016265625,-0.05170784921116977
0.0016515625,-0.06000818678790951
0.0016765625,-0.06399234882474458
0.0017015625,-0.06532040283702294
0.0017265625,-0.06233228130939664
0.0017515625,-0.05403194373265689
0.0017765625,-0.04340751163443003
0.0018015625,-0.03178703902699439
0.0018265625,-0.01717844489193245
0.0018515625,-0.0005777697384529688
0.0018765625,0.0163549189180961
0.0019015625,0.03162754005929722
0.0019265625,0.0452400936851504
0.0019515625,0.05619653928644686
0.0019765625,0.06449687686318659
0.0020015625,0.06682097138467372
0.0020265625,0.06117674183249069
0.0020515625,0.04789620170970711
0.0020765625,0.02996747254394927
0.0021015625,0.0130347838874002
0.0021265625,-0.002237837253800917
0.0021515625,-0.0155183773765845
0.0021765625,-0.02481475546253301
0.0022015625,-0.02946294450550727
0.0022265625,-0.02946294450550727
0.0022515625,-0.02415072845639383
0.0022765625,-0.01518636387351491
0.0023015625,-0.005225958781427223
0.0023265625,0.00838659484442595
0.0023515625,0.02332720248255748
0.0023765625,0.03859982362375861
0.0024015625,0.05354043126189013
0.0024265625,0.06715298488774331
0.0024515625,0.07943748450131813
0.0024765625,0.08607775456270991
0.0025015625,0.0837536600412228
0.0025265625,0.07246520093685674
0.0025515625,0.05320841775882055
0.0025765625,0.02863941853167092
0.0026015625,0.003406392298382107
0.0026265625,-0.01950253941341958
0.0026515625,-0.03245106603313357
0.0026765625,-0.03610321456689906
0.0027015625,-0.0284669039962985
0.0027265625,-0.009210120818262299
0.0027515625,0.01701894592423528
0.0027765625,0.04656814769742876
0.0028015625,0.07346124144606551
0.0028265625,0.09504211914558884
0.0028515625,0.1093186997775812
0.0028765625,0.1139668888205554
0.0029015625,0.1083226592683724
0.0029265625,0.09902628118242392
0.0029515625,0.08541372755657074
0.0029765625,0.06914506590616085
0.0030015625,0.0515483502434726
0.0030265625,0.03461566158692353
0.0030515625,0.01934304044572241
0.0030765625,0.009714648856704309
0.0031015625,0.004402432807590876
0.0031265625,0.0007502842738253896
0.0031515625,-0.002237837253800917
0.0031765625,-0.003897904769148865
0.0032015625,-0.003233877763009685
0.0032265625,0.0007502842738253896
0.0032515625,0.004070419304521285
0.0032765625,0.00905062185056513
0.0033015625,0.01037867586284349
0.0033265625,0.01071068936591308
0.0033515625,0.01071068936591308
0.0033765625,0.00838659484442595
0.0034015625,0.00905062185056513
0.0034265625,0.0133667973904698
