Freq.	V(out)
2.88403150312660e+01	(7.85401167473367e+00dB,-8.43507148865382e-02°)
2.95120922666638e+01	(7.85401123536658e+00dB,-8.63154936002843e-02°)
3.01995172040201e+01	(7.85401077534639e+00dB,-8.83260349423714e-02°)
3.09029543251359e+01	(7.85401029359500e+00dB,-9.03834105532536e-02°)
3.16227766016838e+01	(7.85400978919301e+00dB,-9.24887059807341e-02°)
3.23593656929628e+01	(7.85400926096818e+00dB,-9.46430415086268e-02°)
3.31131121482591e+01	(7.85400870795370e+00dB,-9.68475565430681e-02°)
3.38844156139202e+01	(7.85400812882294e+00dB,-9.91034223670298e-02°)
3.46736850452531e+01	(7.85400752234750e+00dB,-1.01411831955216e-01°)
3.54813389233575e+01	(7.85400688718991e+00dB,-1.03774012081839e-01°)
3.63078054770101e+01	(7.85400622231029e+00dB,-1.06191213164558e-01°)
3.71535229097172e+01	(7.85400552599122e+00dB,-1.08664719376709e-01°)
3.80189396320561e+01	(7.85400479693492e+00dB,-1.11195841222042e-01°)
3.89045144994280e+01	(7.85400403341584e+00dB,-1.13785916901683e-01°)
3.98107170553497e+01	(7.85400323396815e+00dB,-1.16436325173911e-01°)
4.07380277804112e+01	(7.85400239681943e+00dB,-1.19148467850733e-01°)
4.16869383470335e+01	(7.85400152021969e+00dB,-1.21923783366125e-01°)
4.26579518801592e+01	(7.85400060228409e+00dB,-1.24763743483920e-01°)
4.36515832240165e+01	(7.85399964114252e+00dB,-1.27669856099281e-01°)
4.46683592150962e+01	(7.85399863467958e+00dB,-1.30643657931679e-01°)
4.57088189614874e+01	(7.85399758081176e+00dB,-1.33686729514816e-01°)
4.67735141287197e+01	(7.85399647720140e+00dB,-1.36800682526160e-01°)
4.78630092322638e+01	(7.85399532168696e+00dB,-1.39987166713854e-01°)
4.89778819368445e+01	(7.85399411166395e+00dB,-1.43247873467974e-01°)
5.01187233627271e+01	(7.85399284461709e+00dB,-1.46584530635602e-01°)
5.12861383991364e+01	(7.85399151783337e+00dB,-1.49998908833475e-01°)
5.24807460249772e+01	(7.85399012849873e+00dB,-1.53492814954832e-01°)
5.37031796370252e+01	(7.85398867371765e+00dB,-1.57068104600921e-01°)
5.49540873857623e+01	(7.85398715044295e+00dB,-1.60726672256251e-01°)
5.62341325190348e+01	(7.85398555525177e+00dB,-1.64470456338900e-01°)
5.75439937337156e+01	(7.85398388495278e+00dB,-1.68301444949124e-01°)
5.88843655355588e+01	(7.85398213596492e+00dB,-1.72221666114430e-01°)
6.02559586074357e+01	(7.85398030450178e+00dB,-1.76233199662318e-01°)
6.16595001861481e+01	(7.85397838674289e+00dB,-1.80338171565178e-01°)
6.30957344480192e+01	(7.85397637860794e+00dB,-1.84538759112414e-01°)
6.45654229034654e+01	(7.85397427582493e+00dB,-1.88837188682457e-01°)
6.60693448007595e+01	(7.85397207394672e+00dB,-1.93235738942315e-01°)
6.76082975391980e+01	(7.85396976830321e+00dB,-1.97736742724226e-01°)
6.91830970918935e+01	(7.85396735397861e+00dB,-2.02342585554711e-01°)
7.07945784384136e+01	(7.85396482589067e+00dB,-2.07055710288162e-01°)
7.24435960074988e+01	(7.85396217865182e+00dB,-2.11878614343531e-01°)
7.41310241300916e+01	(7.85395940664741e+00dB,-2.16813855072194e-01°)
7.58577575029182e+01	(7.85395650402378e+00dB,-2.21864049755588e-01°)
7.76247116628690e+01	(7.85395346461183e+00dB,-2.27031874959086e-01°)
7.94328234724279e+01	(7.85395028193952e+00dB,-2.32320070306091e-01°)
8.12830516164097e+01	(7.85394694927582e+00dB,-2.37731438571838e-01°)
8.31763771102669e+01	(7.85394345953962e+00dB,-2.43268850536508e-01°)
8.51138038202374e+01	(7.85393980536145e+00dB,-2.48935239746050e-01°)
8.70963589956078e+01	(7.85393597896551e+00dB,-2.54733612498038e-01°)
8.91250938133743e+01	(7.85393197224274e+00dB,-2.60667040985774e-01°)
9.12010839355907e+01	(7.85392777668246e+00dB,-2.66738670993953e-01°)
